,Undergrade CGPA,TOEFL,GRE/GMAT,Conference Paper,Journal Paper,Job Experience(Years),Class_A,Class_B,Class_C,Class_D
114,0.6767676767676765,0.23076923076923084,0.9464285714285714,0.08333333333333333,0.16666666666666666,0.12,1,0,0,0
115,0.4444444444444442,0.5128205128205132,0.0,0.08333333333333333,0.0,0.06,1,0,0,0
116,0.4444444444444442,0.5128205128205132,0.0,0.08333333333333333,0.0,0.06,0,1,0,0
117,0.5555555555555549,0.7692307692307696,0.0,0.25,0.0,0.12,0,1,0,0
118,0.5858585858585856,0.4358974358974361,0.0,0.0,0.0,0.04,0,1,0,0
119,0.5858585858585856,0.4358974358974361,0.0,0.0,0.0,0.04,0,1,0,0
120,0.5858585858585856,0.4358974358974361,0.0,0.0,0.0,0.04,0,1,0,0
121,0.5858585858585856,0.4358974358974361,0.0,0.0,0.0,0.04,0,0,1,0
122,0.5858585858585856,0.4358974358974361,0.0,0.0,0.0,0.04,0,0,1,0
123,0.5858585858585856,0.4358974358974361,0.0,0.0,0.0,0.04,0,1,0,0
124,0.7070707070707067,0.6153846153846154,0.9375,0.0,0.0,0.012,1,0,0,0
125,0.7070707070707067,0.6153846153846154,0.9375,0.0,0.0,0.012,0,1,0,0
126,0.11111111111111072,0.4871794871794872,0.9464285714285714,0.0,0.0,0.12,0,1,0,0
127,0.11111111111111072,0.4871794871794872,0.9464285714285714,0.0,0.0,0.12,1,0,0,0
128,0.5151515151515151,0.6923076923076925,0.9464285714285714,0.08333333333333333,0.0,0.2,0,0,0,1
129,0.5151515151515151,0.6923076923076925,0.9464285714285714,0.08333333333333333,0.0,0.2,0,0,0,1
130,0.4949494949494948,0.7179487179487181,0.9702380952380952,0.0,0.0,0.04,0,0,0,1
131,0.4949494949494948,0.7179487179487181,0.9702380952380952,0.0,0.0,0.04,1,0,0,0
132,0.4949494949494948,0.7179487179487181,0.9702380952380952,0.0,0.0,0.04,0,0,0,1
133,0.42424242424242387,0.30769230769230793,0.9136904761904762,0.16666666666666666,0.0,0.08,0,0,1,0
134,0.949494949494949,0.6410256410256414,0.9732142857142857,0.0,0.0,0.0,0,0,0,1
135,0.4545454545454546,0.5384615384615388,0.9613095238095237,0.08333333333333333,0.0,0.2,0,0,0,1
136,0.5656565656565653,0.7692307692307696,0.9017857142857142,0.08333333333333333,0.0,0.08,1,0,0,0
137,0.5656565656565653,0.7692307692307696,0.9017857142857142,0.08333333333333333,0.0,0.08,0,0,1,0
138,0.4949494949494948,0.30769230769230793,0.9226190476190476,0.0,0.5,0.16,0,0,0,1
139,0.10101010101010077,0.30769230769230793,0.931547619047619,0.0,0.0,0.0,0,0,1,0
140,0.6969696969696968,0.8461538461538463,0.9702380952380952,0.16666666666666666,0.0,0.08,0,1,0,0
141,0.8282828282828278,0.7435897435897436,0.9583333333333333,0.5833333333333333,0.6666666666666666,0.12,1,0,0,0
142,0.8282828282828278,0.7435897435897436,0.9583333333333333,0.5833333333333333,0.6666666666666666,0.12,1,0,0,0
143,0.8282828282828278,0.7435897435897436,0.9583333333333333,0.5833333333333333,0.6666666666666666,0.12,1,0,0,0
144,0.8282828282828278,0.7435897435897436,0.9583333333333333,0.5833333333333333,0.6666666666666666,0.12,1,0,0,0
145,0.8282828282828278,0.7435897435897436,0.9583333333333333,0.5833333333333333,0.6666666666666666,0.12,1,0,0,0
146,0.8282828282828278,0.7435897435897436,0.9583333333333333,0.5833333333333333,0.6666666666666666,0.12,0,0,1,0
147,0.9898989898989896,0.6410256410256414,0.9523809523809523,0.0,0.3333333333333333,0.0,0,0,1,0
148,0.5252525252525251,0.8461538461538463,0.9375,0.0,0.16666666666666666,0.08,0,0,0,1
149,0.2424242424242422,0.5128205128205132,0.9047619047619047,0.08333333333333333,0.16666666666666666,0.1,0,0,0,1
150,0.2424242424242422,0.5128205128205132,0.9047619047619047,0.08333333333333333,0.16666666666666666,0.1,0,0,1,0
151,0.7171717171717167,0.7948717948717952,0.9732142857142857,0.0,0.0,0.016,0,1,0,0
152,0.7171717171717167,0.7948717948717952,0.9732142857142857,0.0,0.0,0.016,0,1,0,0
153,0.050505050505050164,0.30769230769230793,0.0,0.0,0.3333333333333333,0.04,0,0,0,1
154,0.050505050505050164,0.30769230769230793,0.0,0.0,0.3333333333333333,0.04,1,0,0,0
155,0.050505050505050164,0.30769230769230793,0.0,0.0,0.3333333333333333,0.04,0,1,0,0
156,0.050505050505050164,0.30769230769230793,0.0,0.0,0.3333333333333333,0.04,0,1,0,0
157,0.050505050505050164,0.30769230769230793,0.0,0.0,0.3333333333333333,0.04,1,0,0,0
158,0.050505050505050164,0.30769230769230793,0.0,0.0,0.3333333333333333,0.04,1,0,0,0
159,0.6262626262626259,0.7179487179487181,0.931547619047619,0.0,0.0,0.048,0,1,0,0
160,0.7474747474747474,0.9230769230769234,0.9791666666666666,0.5,0.0,0.1,1,0,0,0
161,0.7474747474747474,0.9230769230769234,0.9791666666666666,0.5,0.0,0.1,0,1,0,0
162,0.7474747474747474,0.9230769230769234,0.9791666666666666,0.5,0.0,0.1,0,1,0,0
163,0.04040404040404022,0.6410256410256414,0.9345238095238094,0.16666666666666666,0.0,0.0,0,0,0,1
164,0.6262626262626259,0.6923076923076925,0.9642857142857142,0.16666666666666666,0.3333333333333333,0.14,0,1,0,0
165,0.6262626262626259,0.6923076923076925,0.9642857142857142,0.16666666666666666,0.3333333333333333,0.14,0,1,0,0
166,0.6262626262626259,0.6923076923076925,0.9642857142857142,0.16666666666666666,0.3333333333333333,0.14,0,1,0,0
167,0.6262626262626259,0.6923076923076925,0.9642857142857142,0.16666666666666666,0.3333333333333333,0.14,1,0,0,0
168,0.6262626262626259,0.6923076923076925,0.9642857142857142,0.16666666666666666,0.3333333333333333,0.14,0,1,0,0
169,0.6262626262626259,0.6923076923076925,0.9642857142857142,0.16666666666666666,0.3333333333333333,0.14,0,0,0,1
170,0.6363636363636358,0.8461538461538463,0.9434523809523809,0.3333333333333333,0.0,0.18,0,1,0,0
171,0.6363636363636358,0.8461538461538463,0.9434523809523809,0.3333333333333333,0.0,0.18,1,0,0,0
172,0.5151515151515151,0.5128205128205132,0.9464285714285714,0.0,0.0,0.14,0,1,0,0
173,0.3939393939393936,0.1282051282051282,0.9166666666666666,0.08333333333333333,0.16666666666666666,0.08,0,0,0,1
174,0.09090909090909038,0.30769230769230793,0.9226190476190476,0.16666666666666666,0.16666666666666666,0.0,0,0,1,0
175,0.606060606060606,0.5128205128205132,0.9434523809523809,0.75,1.0,0.12,0,1,0,0
176,0.9292929292929291,0.2051282051282053,0.8839285714285714,0.16666666666666666,0.0,0.012,1,0,0,0
177,0.9292929292929291,0.2051282051282053,0.8839285714285714,0.16666666666666666,0.0,0.012,0,1,0,0
178,0.9292929292929291,0.2051282051282053,0.8839285714285714,0.16666666666666666,0.0,0.012,0,1,0,0
179,0.9292929292929291,0.2051282051282053,0.8839285714285714,0.16666666666666666,0.0,0.012,0,1,0,0
180,0.606060606060606,0.23076923076923084,0.9047619047619047,0.0,0.0,0.0,1,0,0,0
181,0.606060606060606,0.23076923076923084,0.9047619047619047,0.0,0.0,0.0,0,1,0,0
182,0.606060606060606,0.23076923076923084,0.9047619047619047,0.0,0.0,0.0,1,0,0,0
183,0.606060606060606,0.23076923076923084,0.9047619047619047,0.0,0.0,0.0,0,1,0,0
184,0.7272727272727271,0.4871794871794872,0.9345238095238094,0.16666666666666666,0.0,0.02,0,0,1,0
185,0.8585858585858581,0.7179487179487181,0.9583333333333333,0.16666666666666666,0.16666666666666666,0.038,1,0,0,0
186,0.8585858585858581,0.7179487179487181,0.9583333333333333,0.16666666666666666,0.16666666666666666,0.038,1,0,0,0
187,0.8585858585858581,0.7179487179487181,0.9583333333333333,0.16666666666666666,0.16666666666666666,0.038,1,0,0,0
188,0.7272727272727271,0.5128205128205132,0.9345238095238094,0.16666666666666666,0.0,0.0,1,0,0,0
189,0.9797979797979797,0.5897435897435899,0.931547619047619,0.0,0.0,0.04,0,1,0,0
190,0.16161616161616132,0.2564102564102564,0.9166666666666666,0.16666666666666666,0.0,0.1,0,0,0,1
191,0.1212121212121211,0.666666666666667,0.9494047619047619,0.0,0.0,0.012,1,0,0,0
192,0.1212121212121211,0.666666666666667,0.9494047619047619,0.0,0.0,0.012,0,0,1,0
193,0.1212121212121211,0.666666666666667,0.9494047619047619,0.0,0.0,0.012,0,0,1,0
194,0.1212121212121211,0.666666666666667,0.9494047619047619,0.0,0.0,0.012,1,0,0,0
195,0.7878787878787876,0.30769230769230793,0.0,0.16666666666666666,0.3333333333333333,0.08,1,0,0,0
196,0.7575757575757573,0.5128205128205132,0.8988095238095237,0.41666666666666663,0.3333333333333333,0.08,1,0,0,0
197,0.7575757575757573,0.5128205128205132,0.8988095238095237,0.41666666666666663,0.3333333333333333,0.08,1,0,0,0
198,0.7575757575757573,0.5128205128205132,0.8988095238095237,0.41666666666666663,0.3333333333333333,0.08,0,1,0,0
199,0.5757575757575752,0.6410256410256414,0.9434523809523809,0.16666666666666666,0.5,0.012,0,1,0,0
200,0.9898989898989896,0.8461538461538463,0.9761904761904762,0.0,0.0,0.0,0,0,1,0
201,0.9898989898989896,0.8461538461538463,0.9761904761904762,0.0,0.0,0.0,1,0,0,0
202,0.9898989898989896,0.8461538461538463,0.9761904761904762,0.0,0.0,0.0,1,0,0,0
203,0.9898989898989896,0.8461538461538463,0.9761904761904762,0.0,0.0,0.0,0,0,1,0
204,0.6969696969696968,0.7179487179487181,0.8928571428571428,0.16666666666666666,0.0,0.08,0,0,1,0
205,0.2424242424242422,0.30769230769230793,0.9017857142857142,0.0,0.0,0.06,0,1,0,0
206,0.2424242424242422,0.30769230769230793,0.9017857142857142,0.0,0.0,0.06,0,0,0,1
207,0.2424242424242422,0.30769230769230793,0.9017857142857142,0.0,0.0,0.06,0,1,0,0
208,0.2424242424242422,0.30769230769230793,0.9017857142857142,0.0,0.0,0.06,0,0,0,1
209,0.5959595959595956,0.7948717948717952,0.9642857142857142,0.08333333333333333,0.0,0.024,1,0,0,0
210,0.5959595959595956,0.7948717948717952,0.9642857142857142,0.08333333333333333,0.0,0.024,0,0,1,0
211,0.5959595959595956,0.7948717948717952,0.9642857142857142,0.08333333333333333,0.0,0.024,0,0,1,0
212,0.5959595959595956,0.7948717948717952,0.9642857142857142,0.08333333333333333,0.0,0.024,0,0,1,0
213,0.6767676767676765,0.2820512820512824,0.9345238095238094,0.08333333333333333,0.0,0.12,0,0,1,0
214,0.6767676767676765,0.2820512820512824,0.9345238095238094,0.08333333333333333,0.0,0.12,0,1,0,0
215,0.6767676767676765,0.2820512820512824,0.9345238095238094,0.08333333333333333,0.0,0.12,0,0,0,1
216,0.3636363636363633,0.5641025641025643,0.0,0.0,0.0,0.0,1,0,0,0
217,0.5858585858585856,0.30769230769230793,0.9136904761904762,0.0,0.5,0.0,0,1,0,0
218,0.6262626262626259,0.3333333333333335,0.925595238095238,0.8333333333333333,0.0,0.0,0,0,1,0
219,0.6262626262626259,0.3333333333333335,0.925595238095238,0.8333333333333333,0.0,0.0,0,1,0,0
220,0.2727272727272725,0.384615384615385,0.931547619047619,0.0,0.0,0.02,0,1,0,0
221,0.2727272727272725,0.384615384615385,0.931547619047619,0.0,0.0,0.02,1,0,0,0
222,0.2727272727272725,0.384615384615385,0.931547619047619,0.0,0.0,0.02,0,0,1,0
223,0.2727272727272725,0.384615384615385,0.931547619047619,0.0,0.0,0.02,0,0,0,1
224,1.0,0.5128205128205132,0.9285714285714285,0.0,0.16666666666666666,0.0,0,0,0,1
225,0.6262626262626259,0.9230769230769234,0.9672619047619047,0.0,0.0,0.0,1,0,0,0
226,0.8686868686868681,0.384615384615385,0.9375,0.0,0.0,0.024,0,0,1,0
227,0.8686868686868681,0.384615384615385,0.9375,0.0,0.0,0.024,0,1,0,0
228,0.33333333333333304,0.23076923076923084,0.9375,0.16666666666666666,0.5,0.06,0,0,0,1
229,0.33333333333333304,0.23076923076923084,0.9375,0.16666666666666666,0.5,0.06,0,0,0,1
230,0.33333333333333304,0.23076923076923084,0.9375,0.16666666666666666,0.5,0.06,1,0,0,0
231,0.6363636363636358,0.5641025641025643,0.9434523809523809,0.3333333333333333,0.0,0.08,0,0,1,0
232,0.6363636363636358,0.5641025641025643,0.9434523809523809,0.3333333333333333,0.0,0.08,0,0,1,0
233,0.6363636363636358,0.5641025641025643,0.9434523809523809,0.3333333333333333,0.0,0.08,0,0,0,1
234,0.8989898989898988,0.23076923076923084,0.9375,0.08333333333333333,0.0,0.2,0,1,0,0
235,0.8989898989898988,0.23076923076923084,0.9375,0.08333333333333333,0.0,0.2,0,1,0,0
236,0.8989898989898988,0.23076923076923084,0.9375,0.08333333333333333,0.0,0.2,0,1,0,0
237,0.8989898989898988,0.23076923076923084,0.9375,0.08333333333333333,0.0,0.2,0,1,0,0
